message,intent,sentiment,pii
I was charged twice for my subscription.,Billing,Negative,No
My refund still hasn't arrived.,Billing,Negative,No
Why was I billed after cancelling?,Billing,Negative,No
There is an unknown charge on my account.,Billing,Negative,No
I was charged for a service I never used.,Billing,Negative,No
My payment failed but money was deducted.,Billing,Negative,No
I keep getting billed every month even after cancellation.,Billing,Negative,No
The refund amount is incorrect.,Billing,Negative,No
Can you check the status of my refund?,Billing,Neutral,No
Where can I view my invoices?,Billing,Neutral,No
How long does a refund usually take?,Billing,Neutral,No
Can you explain this charge on my statement?,Billing,Neutral,No
I'd like a copy of my latest invoice.,Billing,Neutral,No
What payment methods do you accept?,Billing,Neutral,No
When will my next payment be processed?,Billing,Neutral,No
Can I change my billing cycle?,Billing,Neutral,No
Thanks for processing my refund so quickly.,Billing,Positive,No
"The refund has arrived, thank you!",Billing,Positive,No
I appreciate the help resolving my billing issue.,Billing,Positive,No
My payment went through successfully.,Billing,Positive,No
Thanks for explaining the charges clearly.,Billing,Positive,No
The billing problem has been resolved.,Billing,Positive,No
My card ending in 4521 was charged twice.,Billing,Negative,Yes
Please send the invoice to abc@gmail.com.,Billing,Neutral,Yes
My account number 987654 has a billing issue.,Billing,Negative,Yes
I can't log in to my account.,Account,Negative,No
My password reset link isn't working.,Account,Negative,No
I was locked out of my account unexpectedly.,Account,Negative,No
I updated my email but it didn't save.,Account,Negative,No
My profile changes keep disappearing.,Account,Negative,No
I can't access my account settings.,Account,Negative,No
The system won't let me update my password.,Account,Negative,No
My account information is incorrect after the update.,Account,Negative,No
How do I change my password?,Account,Neutral,No
Can I update my email address?,Account,Neutral,No
Where can I edit my profile information?,Account,Neutral,No
How do I update my phone number?,Account,Neutral,No
Can I change my username?,Account,Neutral,No
How do I update my address?,Account,Neutral,No
Where can I view my account details?,Account,Neutral,No
Can I merge two accounts?,Account,Neutral,No
Thanks for helping me recover my account.,Account,Positive,No
My account update worked perfectly.,Account,Positive,No
I successfully changed my password.,Account,Positive,No
"Everything looks correct now, thank you.",Account,Positive,No
The profile update was quick and easy.,Account,Positive,No
Thanks for fixing my login issue.,Account,Positive,No
Please update my email to john.smith@email.com.,Account,Neutral,Yes
My phone number changed to 9876543210.,Account,Neutral,Yes
My username is swanandi_123 and I need help accessing my account.,Account,Negative,Yes
The app crashes every time I open it.,Technical,Negative,No
My screen freezes when I try to save.,Technical,Negative,No
The website won't load on my browser.,Technical,Negative,No
I keep getting an unexpected error message.,Technical,Negative,No
The app logs me out randomly.,Technical,Negative,No
The page keeps refreshing by itself.,Technical,Negative,No
My data disappeared after the update.,Technical,Negative,No
The search feature is not working anymore.,Technical,Negative,No
How do I clear the app cache?,Technical,Neutral,No
What browser is officially supported?,Technical,Neutral,No
